target,analysis,chain,code_content,commit_author,file_path,id,language,line_number,rule_name
tests/vulnerabilities,Function-param-controllable,,"print(""Hello "" . $cmd);
",JANNEY W,C:\Users\Lenovo\Desktop\CodeauditTool3.0\tests\vulnerabilities/v.php,1000,PHP,60,Reflected XSS
tests/vulnerabilities,Function-param-controllable,,"                    print(system(trim('ping'.$_GET['test'])));
",JANNEY W,C:\Users\Lenovo\Desktop\CodeauditTool3.0\tests\vulnerabilities/v_parser.php,1000,PHP,7,Reflected XSS
tests/vulnerabilities,Vustomize-Match,,"echo($callback . "";"");
",JANNEY W,C:\Users\Lenovo\Desktop\CodeauditTool3.0\tests\vulnerabilities/v.php,10001,PHP,10,Reflected XSS
tests/vulnerabilities,Vustomize-Match,,"    echo get_headers($url,1);
",JANNEY W,C:\Users\Lenovo\Desktop\CodeauditTool3.0\tests\vulnerabilities/v.php,10001,PHP,54,Reflected XSS
tests/vulnerabilities,Vustomize-Match,,"echo ""a"".$a;
",JANNEY W,C:\Users\Lenovo\Desktop\CodeauditTool3.0\tests\vulnerabilities/v.php,10001,PHP,124,Reflected XSS
tests/vulnerabilities,Vustomize-Match,,"    curl(esc_url($cmd));
",JANNEY W,C:\Users\Lenovo\Desktop\CodeauditTool3.0\tests\vulnerabilities/v.php,1001,PHP,44,Auto rule
tests/vulnerabilities,Function-param-controllable,,"    $content = file_get_contents($url);
",JANNEY W,C:\Users\Lenovo\Desktop\CodeauditTool3.0\tests\vulnerabilities/v.php,1002,PHP,49,SSRF
tests/vulnerabilities,Function-param-controllable,,"    echo get_headers($url,1);
",JANNEY W,C:\Users\Lenovo\Desktop\CodeauditTool3.0\tests\vulnerabilities/v.php,1003,PHP,54,SSRF
tests/vulnerabilities,Vustomize-Match,,"$query = ""select id, xxx from users where name = $test"";
",JANNEY W,C:\Users\Lenovo\Desktop\CodeauditTool3.0\tests\vulnerabilities/v.php,1004,PHP,69,SQLI
tests/vulnerabilities,Vustomize-Match,,"$query2 = ""select name from users where id =$id"";
",JANNEY W,C:\Users\Lenovo\Desktop\CodeauditTool3.0\tests\vulnerabilities/v.php,1004,PHP,79,SQLI
tests/vulnerabilities,Function-param-controllable,,"    require_once($cmd);
",JANNEY W,C:\Users\Lenovo\Desktop\CodeauditTool3.0\tests\vulnerabilities/v.php,1007,PHP,83,RFI
tests/vulnerabilities,Function-param-controllable,,"$data = simplexml_load_string($xml);
",JANNEY W,C:\Users\Lenovo\Desktop\CodeauditTool3.0\tests\vulnerabilities/v.php,1008,PHP,104,Xml injection
tests/vulnerabilities,Function-param-controllable,,"    eval($cmd);
",JANNEY W,C:\Users\Lenovo\Desktop\CodeauditTool3.0\tests\vulnerabilities/v.php,1009,PHP,19,RCE
tests/vulnerabilities,Function-param-controllable,,"    system('ls' + $cmd);
",JANNEY W,C:\Users\Lenovo\Desktop\CodeauditTool3.0\tests\vulnerabilities/v.php,1011,PHP,20,RCE
tests/vulnerabilities,Function-param-controllable,,"                    print(system(trim('ping'.$_GET['test'])));
",JANNEY W,C:\Users\Lenovo\Desktop\CodeauditTool3.0\tests\vulnerabilities/v_parser.php,1011,PHP,7,RCE
tests/vulnerabilities,Function-param-controllable,,"    header(""Location: "".esc_url($url));
",JANNEY W,C:\Users\Lenovo\Desktop\CodeauditTool3.0\tests\vulnerabilities/v.php,1013,PHP,97,URL Redirector Abuse
tests/vulnerabilities,Function-param-controllable,,"extract($cmd);
",JANNEY W,C:\Users\Lenovo\Desktop\CodeauditTool3.0\tests\vulnerabilities/v.php,1014,PHP,12,variable shadowing
tests/vulnerabilities,Unconfirmed Function-param-controllable,,"parse_str($_SERVER['QUERY_STRING']);
",JANNEY W,C:\Users\Lenovo\Desktop\CodeauditTool3.0\tests\vulnerabilities/v.php,1014,PHP,106,variable shadowing
tests/vulnerabilities,Function-param-controllable,,"$test_uns = unserialize($test);
",JANNEY W,C:\Users\Lenovo\Desktop\CodeauditTool3.0\tests\vulnerabilities/v.php,1015,PHP,101,unserialize vulerablity
tests/vulnerabilities,Function-param-controllable,,"print(""Hello "" . $cmd);
",JANNEY W,C:\Users\Lenovo\Desktop\Soft_Engi\project\CodeauditTool3.0\tests\vulnerabilities/v.php,1000,PHP,60,Reflected XSS
tests/vulnerabilities,Function-param-controllable,,"                    print(system(trim('ping'.$_GET['test'])));
",JANNEY W,C:\Users\Lenovo\Desktop\Soft_Engi\project\CodeauditTool3.0\tests\vulnerabilities/v_parser.php,1000,PHP,7,Reflected XSS
tests/vulnerabilities,Vustomize-Match,,"echo($callback . "";"");
",JANNEY W,C:\Users\Lenovo\Desktop\Soft_Engi\project\CodeauditTool3.0\tests\vulnerabilities/v.php,10001,PHP,10,Reflected XSS
tests/vulnerabilities,Vustomize-Match,,"    echo get_headers($url,1);
",JANNEY W,C:\Users\Lenovo\Desktop\Soft_Engi\project\CodeauditTool3.0\tests\vulnerabilities/v.php,10001,PHP,54,Reflected XSS
tests/vulnerabilities,Vustomize-Match,,"echo ""a"".$a;
",JANNEY W,C:\Users\Lenovo\Desktop\Soft_Engi\project\CodeauditTool3.0\tests\vulnerabilities/v.php,10001,PHP,124,Reflected XSS
tests/vulnerabilities,Vustomize-Match,,"    curl(esc_url($cmd));
",JANNEY W,C:\Users\Lenovo\Desktop\Soft_Engi\project\CodeauditTool3.0\tests\vulnerabilities/v.php,1001,PHP,44,Auto rule
tests/vulnerabilities,Function-param-controllable,,"    $content = file_get_contents($url);
",JANNEY W,C:\Users\Lenovo\Desktop\Soft_Engi\project\CodeauditTool3.0\tests\vulnerabilities/v.php,1002,PHP,49,SSRF
tests/vulnerabilities,Function-param-controllable,,"    echo get_headers($url,1);
",JANNEY W,C:\Users\Lenovo\Desktop\Soft_Engi\project\CodeauditTool3.0\tests\vulnerabilities/v.php,1003,PHP,54,SSRF
tests/vulnerabilities,Vustomize-Match,,"$query = ""select id, xxx from users where name = $test"";
",JANNEY W,C:\Users\Lenovo\Desktop\Soft_Engi\project\CodeauditTool3.0\tests\vulnerabilities/v.php,1004,PHP,69,SQLI
tests/vulnerabilities,Vustomize-Match,,"$query2 = ""select name from users where id =$id"";
",JANNEY W,C:\Users\Lenovo\Desktop\Soft_Engi\project\CodeauditTool3.0\tests\vulnerabilities/v.php,1004,PHP,79,SQLI
tests/vulnerabilities,Function-param-controllable,,"    require_once($cmd);
",JANNEY W,C:\Users\Lenovo\Desktop\Soft_Engi\project\CodeauditTool3.0\tests\vulnerabilities/v.php,1007,PHP,83,RFI
tests/vulnerabilities,Function-param-controllable,,"$data = simplexml_load_string($xml);
",JANNEY W,C:\Users\Lenovo\Desktop\Soft_Engi\project\CodeauditTool3.0\tests\vulnerabilities/v.php,1008,PHP,104,Xml injection
tests/vulnerabilities,Function-param-controllable,,"    eval($cmd);
",JANNEY W,C:\Users\Lenovo\Desktop\Soft_Engi\project\CodeauditTool3.0\tests\vulnerabilities/v.php,1009,PHP,19,RCE
tests/vulnerabilities,Function-param-controllable,,"    system('ls' + $cmd);
",JANNEY W,C:\Users\Lenovo\Desktop\Soft_Engi\project\CodeauditTool3.0\tests\vulnerabilities/v.php,1011,PHP,20,RCE
tests/vulnerabilities,Function-param-controllable,,"                    print(system(trim('ping'.$_GET['test'])));
",JANNEY W,C:\Users\Lenovo\Desktop\Soft_Engi\project\CodeauditTool3.0\tests\vulnerabilities/v_parser.php,1011,PHP,7,RCE
tests/vulnerabilities,Function-param-controllable,,"    header(""Location: "".esc_url($url));
",JANNEY W,C:\Users\Lenovo\Desktop\Soft_Engi\project\CodeauditTool3.0\tests\vulnerabilities/v.php,1013,PHP,97,URL Redirector Abuse
tests/vulnerabilities,Function-param-controllable,,"extract($cmd);
",JANNEY W,C:\Users\Lenovo\Desktop\Soft_Engi\project\CodeauditTool3.0\tests\vulnerabilities/v.php,1014,PHP,12,variable shadowing
tests/vulnerabilities,Unconfirmed Function-param-controllable,,"parse_str($_SERVER['QUERY_STRING']);
",JANNEY W,C:\Users\Lenovo\Desktop\Soft_Engi\project\CodeauditTool3.0\tests\vulnerabilities/v.php,1014,PHP,106,variable shadowing
tests/vulnerabilities,Function-param-controllable,,"$test_uns = unserialize($test);
",JANNEY W,C:\Users\Lenovo\Desktop\Soft_Engi\project\CodeauditTool3.0\tests\vulnerabilities/v.php,1015,PHP,101,unserialize vulerablity
